,location.address,name,location.lat,location.lng,location.distance,location.formattedAddress
0,Lijnbaan 32,HMC Westeinde,52.0738602,4.3000598,70132,"['Lijnbaan 32', '2512 VA Den Haag', 'Nederland']"
1,Hospitaalweg 1,Flevoziekenhuis Almere,52.36922,5.22333,17766,"['Hospitaalweg 1', '1315 RA Almere', 'Nederland']"
2,Heidelberglaan 25,Prinses Maxima Centrum,52.090273474537845,5.183717263451561,16156,"['Heidelberglaan 25', '3584 CS Utrecht', 'Nederland']"
3,Els Borst-Eilersplein 275,HagaZiekenhuis,52.0558926,4.2632765,73060,"['Els Borst-Eilersplein 275', '2545 AA Den Haag', 'Nederland']"
4,Hilvarenbeekseweg 60,ETZ Elisabeth,51.53943,5.1035199,76588,"['Hilvarenbeekseweg 60', '5022 GC Tilburg', 'Nederland']"
5,Vondellaan 13,Rode Kruis Ziekenhuis,52.4791281,4.6506,52949,"['Vondellaan 13', '1942 LE Beverwijk', 'Nederland']"
6,Wesselmanlaan 25,Elkerliek ziekenhuis,51.48229655518469,5.642515379556169,85074,"['Wesselmanlaan 25', '5707 HA Helmond', 'Nederland']"
7,Boerhaavelaan 22,Spaarne Gasthuis Haarlem Zuid,52.366099427801856,4.652758773005254,47103,"['Boerhaavelaan 22', '2035 RC Haarlem', 'Nederland']"
8,Oude Liersebaan 4,Algemeen Ziekenhuis Sint-Jozef,51.27488722834706,4.6445828676223755,114154,"['Oude Liersebaan 4', '2390 Malle', 'België']"
9,Kleiweg 500,Sint Franciscus Gasthuis,51.9418602,4.4624701,64952,"['Kleiweg 500', '3045 PM Rotterdam', 'Nederland']"
10,Grevelingen 66,Zorgcentrum De Grevelingen,51.68932251935321,5.322806492218413,58724,"['Grevelingen 66', ""5215 ES 's-Hertogenbosch"", 'Nederland']"
11,Albert Schweitzerplaats 25,Albert Schweitzer Ziekenhuis,51.79212802799292,4.682307404768116,63443,"['Albert Schweitzerplaats 25', '3318 AT Dordrecht', 'Nederland']"
12,Rubensstraat 166,AZ Turnhout Campus St. Elisabeth,51.31349063390578,4.941946778309064,103522,"['Rubensstraat 166', '2300 Turnhout', 'België']"
13,Meibergdreef 9,Academisch Medisch Centrum (AMC),52.29499,4.95791,24887,"['Meibergdreef 9', '1105 AZ Amsterdam', 'Nederland']"
14,Heidelberglaan 100,UMC Utrecht,52.08629740246989,5.1792141131297615,16693,"['Heidelberglaan 100', '3584 CX Utrecht', 'Nederland']"
15,Steenweg op Merksplas 44,AZ Turnhout Campus Sint Jozef,51.33498116473195,4.9206192980572165,101566,"['Steenweg op Merksplas 44', '2300 Turnhout', 'België']"
16,Nooitrust 11,De Dennen,51.28695559433186,4.63890279194189,113077,"['Nooitrust 11', 'Westmalle', 'België']"
17,Dr. Molewaterplein 40,Erasmus MC,51.91094,4.46807,66330,"['Dr. Molewaterplein 40', '3015 GD Rotterdam', 'Nederland']"
18,Augustijnslei 100,AZ Klina,51.298503319400844,4.489717483520508,116462,"['Augustijnslei 100', '2930 Brasschaat', 'België']"
19,,Noordwest Ziekenhuisgroep locatie Alkmaar,52.629006,4.736219,59763,['Nederland']
20,Reinier De Graafweg,GGZ Delfland - Reinier De Graaf Gasthuis - De Gravin,51.99705867562689,4.33752394781229,70198,"['Reinier De Graafweg', 'Delft', 'Nederland']"
21,Oosterpark 9,OLVG locatie Oost,52.358442942110074,4.916556172876662,30509,"['Oosterpark 9 (Eerste Oosterparkstraat)', '1091 AC Amsterdam', 'Nederland']"
22,Geert Grooteplein Zuid 10,Radboudumc,51.82361,5.85982,58181,"['Geert Grooteplein Zuid 10', '6525 GA Nijmegen', 'Nederland']"
23,Lundlaan 6,Wilhelmina Kinderziekenhuis,52.089397862137645,5.181079897193056,16330,"['Lundlaan 6', '3584 EA Utrecht', 'Nederland']"
24,,Kouter,51.271727,4.645181,114462,['België']
25,Wethouder Jansenlaan 90,Ziekenhuis St Jansdal,52.3423400440622,5.615859031677246,25660,"['Wethouder Jansenlaan 90', '3844 DG Harderwijk', 'Nederland']"
26,Soestwetering 1,St. Antonius Ziekenhuis,52.10274799795172,5.058459544058819,20806,"['Soestwetering 1', '3543 AZ Utrecht', 'Nederland']"
27,Boerhaaveplein 1,Bravis Ziekenhuis,51.48672241980633,4.314419904112007,105806,"['Boerhaaveplein 1', '4624 VT Bergen op Zoom', 'Nederland']"
28,Maatweg 3,Meander Medisch Centrum,52.170907424730366,5.369478855282068,6958,"['Maatweg 3', '3813 TZ Amersfoort', 'Nederland']"
29,Reinier de Graafweg 5,Reinier de Graaf Gasthuis,51.998017091601284,4.339429389295213,70039,"['Reinier de Graafweg 5', '2625 AD Delft', 'Nederland']"
30,Augustijnslei 100,Spoed AZ KLINA,51.299530375251535,4.489588831203951,116366,"['Augustijnslei 100', '2930 Brasschaat', 'België']"
31,Laan van de Helende Meesters 8,Ziekenhuis Amstelland,52.293518785568196,4.873338436037491,30306,"['Laan van de Helende Meesters 8', '1186 AM Amstelveen', 'Nederland']"
32,Bolswarderbaan 1,Antonius Ziekenhuis,53.03498420349723,5.642827294947414,93993,"['Bolswarderbaan 1', '8601 ZK Sneek', 'Nederland']"
33,Albinusdreef 2,Leids Universitair Medisch Centrum (LUMC),52.166061752273045,4.477486610412598,56411,"['Albinusdreef 2', '2333 ZA Leiden', 'Nederland']"
34,Augustijnslei 100,Medische Beeldvorming,51.29861786612546,4.489450049598437,116460,"['Augustijnslei 100', '2930 Brasschaat', 'België']"
35,Henri Dunantstraat 1,Jeroen Bosch Ziekenhuis,51.6847486161395,5.277425665432552,59232,"['Henri Dunantstraat 1', ""5223 GZ 's-Hertogenbosch"", 'Nederland']"
36,Bosboomstraat 1,Diakonessenhuis,52.08156,5.13826,18661,"['Bosboomstraat 1', '3582 KE Utrecht', 'Nederland']"
37,Dokter van Heesweg 2,Isala,52.51362207667194,6.123882005965458,65030,"['Dokter van Heesweg 2', '8025 AB Zwolle', 'Nederland']"
38,Jan Tooropstraat 164,"OLVG, locatie West",52.371436881368105,4.838735012080363,35820,"['Jan Tooropstraat 164', '1061 AE Amsterdam', 'Nederland']"
39,Bleulandweg 10,Groene Hart Ziekenhuis,52.02153808267554,4.707036104645445,45983,"['Bleulandweg 10', '2803 HH Gouda', 'Nederland']"
40,Simon Smitweg 1,Alrijne Ziekenhuis Leiderdorp,52.15727633320879,4.540935595855384,52224,"['Simon Smitweg 1', '2353 Leiderdorp', 'Nederland']"
41,Jan Weitkamplaan 4a,Röpcke-Zweers Ziekenhuis,52.57178573259138,6.633038520812988,98803,"['Jan Weitkamplaan 4a', '7772 SE Hardenberg', 'Nederland']"
42,Hengstdal 3,Sint Maartenskliniek,51.8329665,5.8999432,59271,"['Hengstdal 3', '6574 NA Ubbergen', 'Nederland']"
43,Huisduinerweg 3,Noordwest Ziekenhuisgroep locatie Den Helder,52.957790319623946,4.74445101568476,90653,"['Huisduinerweg 3', '1782 GZ Den Helder', 'Nederland']"
44,Nistelrodeseweg 10,Bernhoven,51.67439067930443,5.606095403675624,63915,"['Nistelrodeseweg 10', '5406 PT Uden', 'Nederland']"
45,Kapellei 133,Joostens-ZNA,51.25885,4.62836,116240,"['Kapellei 133', '2980 Halle', 'België']"
46,Henri Dunantweg 2,Medisch Centrum Leeuwarden,53.188756193482725,5.804386138916016,113433,"['Henri Dunantweg 2', '8934 AD Leeuwarden', 'Nederland']"
47,,"Poli Maag, Darm En Leverziekten Akrijne Leiderdorp",52.15667,4.5402393,52280,"['2353 GA Leiderdorp', 'Nederland']"
48,Kleiweg 500,Sint Franciscus Afd Gynaecologie,51.941931618585095,4.462648138622283,64937,"['Kleiweg 500', 'Rotterdam', 'Nederland']"
49,Parklaan 2,RSZK Merefelt,51.40985151203336,5.405806457411693,90108,"['Parklaan 2', 'Veldhoven', 'Nederland']"
